ITEM,NUM,interaction chain,New variable,Ancillary actions,detail
PS1_1,1,MAIL_DROP & MAIL_MOVED,MAIL_MOVED,MAIL_DROP,
PS1_2,1,MAIL_DROP & MAIL_MOVED,MAIL_MOVED,MAIL_DROP,
PS1_2,2,"SHORTCUT (copy - ""modifiers=ctrl|*$key=c""
paste - ""modifiers=ctrl|*$key=v"")",SHORTCUT_copy,,
PS1_2,,,SHORTCUT_paste,,
PS1_5,1,COMBOBOX & INFORMATION & GLOBAR_VAR & TRANSLATION & COMBOBOX(action=CLOSE),COMBOBOX,"INFORMATION
GLOBAR_VAR
TRANSLATION
COMBOBOX(action=CLOSE)",
PS1_5,2,TEXTLINK & HISTORY_ADD,TEXTLINK,HISTORY_ADD,
PS1_6,1,BOXPRESS & HISTORY_ADD,BOXPRESS,HISTORY_ADD,
PS1_6,2,TEXTLINK & HISTORY_ADD,TEXTLINK,HISTORY_ADD,
PS2_3,1,TEXTLINK & HISTORY_ADD,TEXTLINK,HISTORY_ADD,
PS2_4,1,MAIL_DROP & MAIL_MOVED,MAIL_MOVED,MAIL_DROP,
PS2_4,2,TEXTLINK & HISTORY_ADD,TEXTLINK,HISTORY_ADD,
PS2_5,1,MAIL_DROP & MAIL_MOVED,MAIL_MOVED,MAIL_DROP,
PS2_5,2,TRANSLATION,NA (DELETED FROM DATA),,SYSTEM ACTION
PS2_6,1,MAIL_DROP & MAIL_MOVED,MAIL_MOVED,MAIL_DROP,
